1;1;100;1
2;1;100;2
3;2;10;1
4;1;4;4
5;1;4;3
6;2;2;4
7;1;2;5
8;1;5;10
9;2;1;10
10;2;1;5
11;1;4;5
12;1;2;9
13;1;4;12
14;1;4;11
15;1;4;7
16;1;4;8
17;1;10;6
18;2;1;6
19;2;2;3
20;2;2;11
21;1;30;4
22;1;10;4
23;1;15;10
24;2;2;9
25;2;4;1
26;2;4;2
27;2;1;18
28;1;10;1
29;1;100;18
30;1;9;13
31;1;15;14
32;1;1;17
33;1;2;15
34;1;50;16
35;1;7;19
36;2;4;4
37;2;20;1
38;1;24;1
39;1;18;1
40;1;10;9
41;1;1;7
42;1;1;6
43;1;1;9
44;1;5;12
45;1;1;10
46;1;1;17
47;1;1;15
48;1;1;3
49;1;1;5
50;1;1;14
51;2;18;1
52;1;9;13
53;1;15;14
54;1;1;17
55;1;2;15
56;1;50;16
57;1;7;19
58;2;4;4
59;2;20;1
60;1;24;1
61;1;18;1
62;1;10;9
63;1;1;7
64;1;1;6
65;1;1;9
66;1;5;12
67;1;1;10
68;1;1;17
69;1;1;15
70;1;1;3
71;1;1;5
72;1;1;14
73;2;18;1
